"IMDB Rating","Emotion","Emotion Score"
9.5, SadnessNeutral, 0.0464310173917
9.2, ContemptNeutral, 0.0001866214
9.1, SadnessNeutral, 0.028296655
9.0, HappinessNeutral, 0.12567521436
8.8, SadnessNeutral, 0.138487573647
8.8, SadnessNeutral, 0.005107446
8.8, Happiness, 0.9443503
8.8, SadnessNeutral, 0.0997403407667
8.8, Anger, 0.5585288
8.7, HappinessNeutral, 0.0007666536
8.7, ContemptNeutral, 0.00305067236
8.7, SurpriseNeutral, 0.0027951090311
8.6, SurpriseNeutral, 0.0008258568
8.6, Happiness, 0.99999994
8.6, ContemptNeutral, 0.05020954
8.6, AngerNeutral, 0.4878738
8.4, ContemptNeutral, 0.005955054
8.3, Happiness, 0.9948311
8.1, HappinessNeutral, 0.276728928
8.0, Happiness, 0.9312218
5.8, Happiness, 1.0
